OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
1,Middletown,Monmouth,40.38978,-74.11613,86,System.Byte[],NC,STATIONS,Middletown Twp,NC,YES,North Jersey Coast Line,North Jersey Coast Line,599046.041583829,567129.421739653
2,Millburn,Essex,40.72563,-74.30381,88,System.Byte[],ME,STATIONS,Millburn Twp,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",546498.359933995,689304.806981571
3,Walnut Street,Essex,40.81724,-74.20962,153,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,572491.819757994,722750.345405325
4,Hammonton,Atlantic,39.63167,-74.7995,54,System.Byte[],AC,STATIONS,Hammonton,AC,YES,Atlantic City Line,Atlantic City Line,407776.484491162,290896.974205658
5,Atlantic City,Atlantic,39.3633,-74.44148,10,System.Byte[],AC,STATIONS,Atlantic City,AC,YES,Atlantic City Line,Atlantic City Line,508670.86997233,193016.984270491
6,Suffern,"Rockland, NY",41.11354,-74.15344,145,System.Byte[],ML,STATIONS,Suffern,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",587614.015235327,830750.820348822
7,Mahwah,Bergen,41.09438,-74.14661,78,System.Byte[],ML,STATIONS,Mahwah Twp,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",589523.93858083,823776.287381902
8,Ho-Ho-Kus,Bergen,40.99737,-74.11352,63,System.Byte[],ML,STATIONS,Ridgewood,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",598799.570291996,788473.528919324
9,Glen Rock-Main,Bergen,40.96225,-74.13345,52,System.Byte[],ML,STATIONS,Glen Rock,ML,NO,Main Line,Main Line,593352.832825914,775654.20022732
10,Nanuet,"Rockland, NY",41.09,-74.01471,101,System.Byte[],PV,STATIONS,"Clarkstown, Town Of",PV,YES,Pascack Valley Line,Pascack Valley Line,625885.223797746,822357.623552568
